779
  4.41790831911744544e-13  1.67214191105439520e+17
  1.92687248844842686e-12  1.67214168156057664e+17
  3.43145937129508231e-12  1.67214114012436896e+17
  4.67680082619150288e-12  1.67214090095564992e+17
  7.02697144496206085e-12  1.67214049477349728e+17
  1.15312308697884827e-11  1.67213968464097984e+17
  1.80725891189434738e-11  1.67213816913037728e+17
  2.94512575094032257e-11  1.67213631823034944e+17
  5.23371126114216558e-11  1.67213235255817664e+17
  8.28644417038978823e-11  1.67212475418054976e+17
  1.13698278372884135e-10  1.67211714355710336e+17
  1.66693435705586504e-10  1.67210967020975296e+17
  2.41849913702005017e-10  1.67209199735275040e+17
  3.19350995583887123e-10  1.67207503262309824e+17
  3.99196681351232900e-10  1.67205771377721728e+17
  4.77416381097968935e-10  1.67204105436858144e+17
  5.54010094824095123e-10  1.67202563805734016e+17
  6.30603808550221311e-10  1.67201072751384736e+17
  7.07197522276347396e-10  1.67199628067841504e+17
  7.84702468995309045e-10  1.67198226253799328e+17
  8.63118648707106050e-10  1.67196831440367200e+17
  9.41534828418903158e-10  1.67195473911844352e+17
  1.01995100813070016e-09  1.67194150294042720e+17
  1.10223471382792420e-09  1.67192857334778880e+17
  1.18838594551057506e-09  1.67191468446475232e+17
  1.27453717719322592e-09  1.67190108491568224e+17
  1.36068840887587719e-09  1.67188773195575968e+17
  1.44683964055852805e-09  1.67187458154476896e+17
  1.53299087224117892e-09  1.67186158714200960e+17
  1.59760429600316716e-09  1.67184869806395872e+17
  1.64067991184449239e-09  1.67184227265873184e+17
  1.68375552768581802e-09  1.67183585190167872e+17
  1.72683114352714325e-09  1.67182942759214336e+17
  1.76695653483400743e-09  1.67182299101659840e+17
  1.80413170160641037e-09  1.67181741889197632e+17
  1.84130686837881310e-09  1.67181182454970784e+17
  1.87848203515121604e-09  1.67180620155975360e+17
  1.91565720192361918e-09  1.67180054336099808e+17
  1.95283236869602191e-09  1.67179484337959776e+17
  1.99000753546842506e-09  1.67178909518623776e+17
  2.02718270224082737e-09  1.67178329268296608e+17
  2.06435786901323052e-09  1.67177743028855168e+17
  2.10153303578563325e-09  1.67177150308503200e+17
  2.13870820255803639e-09  1.67176550688029088e+17
  2.17588336933043912e-09  1.67175943822851840e+17
  2.21305853610284227e-09  1.67175329443978016e+17
  2.25023370287524459e-09  1.67174707353865952e+17
  2.28740886964764773e-09  1.67174077418081984e+17
  2.32458403642005005e-09  1.67173439558318720e+17
  2.36175920319245319e-09  1.67172793744618176e+17
  2.39893436996485634e-09  1.67172139990778944e+17
  2.43610953673725865e-09  1.67171478350910496e+17
  2.47328470350966180e-09  1.67170808916712448e+17
  2.51045987028206412e-09  1.67170131821014336e+17
  2.54763503705446726e-09  1.67169447240691136e+17
  2.58481020382686958e-09  1.67168755393700928e+17
  2.62198537059927272e-09  1.67168056536248672e+17
  2.67774812075787661e-09  1.67167350963012192e+17
  2.75209845430268290e-09  1.67165920752664320e+17
  2.82644878784748836e-09  1.67164468020516608e+17
  2.90079912139229382e-09  1.67162996000174048e+17
  2.98174634981941245e-09  1.67161507959878592e+17
  3.06929047312884425e-09  1.67159739410645728e+17
  3.15683459643827605e-09  1.67157957603720128e+17
  3.24437871974770785e-09  1.67156166549635552e+17
  3.33192284305713882e-09  1.67154369624531552e+17
  3.41946696636657062e-09  1.67152569598791040e+17
  3.50701108967600200e-09  1.67150768711400736e+17
