419
  0.00000000000000000e+00  8.34103400193275840e+16
  4.68678652354772200e-14  8.34148459239129440e+16
  9.37357304709544399e-14  8.34185304431744960e+16
  1.17169663088693044e-13  8.34201727865715200e+16
  1.40603595706431673e-13  8.34217112020508320e+16
  1.87471460941908880e-13  8.34245342895687200e+16
  2.10905393559647484e-13  8.34258412672662400e+16
  2.34339326177386087e-13  8.34270891823247680e+16
  2.57773258795124716e-13  8.34282843792789600e+16
  2.81207191412863295e-13  8.34294321733769280e+16
  3.28075056648340502e-13  8.34316029497597760e+16
  3.74942921883817709e-13  8.34336303341077280e+16
  4.21810787119294917e-13  8.34355360950512000e+16
  4.68678652354772174e-13  8.34373369746102720e+16
  5.62414382825726589e-13  8.34406749275438080e+16
  6.56150113296681004e-13  8.34437216458498720e+16
  7.49885843767635418e-13  8.34465315936255360e+16
  8.43621574238589833e-13  8.34491447779988000e+16
  9.37357304709544349e-13  8.34515918171801440e+16
  1.12482876565145318e-12  8.34560793208524480e+16
  1.31230022659336201e-12  8.34601333968504160e+16
  1.49977168753527084e-12  8.34638472781196480e+16
  1.68718608469527446e-12  8.34672842517363520e+16
  1.87460048185527829e-12  8.34704913333854560e+16
  2.24942927617528554e-12  8.34763452030826400e+16
  2.62425807049529279e-12  8.34816006421124640e+16
  2.99908686481530005e-12  8.34863860191636160e+16
  3.20795194284979847e-12  8.34888833993390880e+16
  3.41681702088429690e-12  8.34912757553495840e+16
  3.69886780997609456e-12  8.34943578941201280e+16
  4.15218069295302721e-12  8.34990017942683680e+16
  4.50689797456379567e-12  8.35024067858503040e+16
  4.87620805512676483e-12  8.35057684852472480e+16
  5.42483664701257120e-12  8.35104643313729760e+16
  6.09193073922210875e-12  8.35157655689365280e+16
  6.73224972527967869e-12  8.35204974544713920e+16
  7.05449243967246705e-12  8.35227632649014240e+16
  7.47990377013567376e-12  8.35256481291986560e+16
  8.12679901389152974e-12  8.35298247502970400e+16
  9.19402067821672407e-12  8.35362335084304320e+16
  1.01713523472833216e-11  8.35416558343240480e+16
  1.10062566027979643e-11  8.35460010860623200e+16
  1.15680800763585886e-11  8.35487939327370400e+16
  1.25285600806090173e-11  8.35533507771274400e+16
